epsilon,Coverage,Avg_length,Std_length,Original_interval_bottom,Original_interval_upper,quantile,std_quantile,horizon,epsilon_pi_b,avg_weights,std_weights,w_hat/w,std_w_hat/w,avg_delta_w,std_delta_w,median_delta_w
0.0000,100.0000,38.1697,0.0000,38.0000,76.0000,0.0849,0.0000,5.0000,0.4000,0.1193,0.0077,0.1193,0.0077,0.4404,0.0077,0.4400
0.1111,94.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.5868,0.0194,0.5868,0.0194,0.2066,0.0194,0.2055
0.2222,92.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.8585,0.0162,0.8585,0.0162,0.0708,0.0162,0.0703
0.3333,91.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,1.0098,0.0114,1.0098,0.0114,0.0061,0.0087,0.0054
0.4444,89.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.9956,0.0051,0.9956,0.0051,0.0029,0.0036,0.0029
0.5556,92.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.8996,0.0202,0.8996,0.0202,0.0502,0.0202,0.0495
0.6667,89.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.7514,0.0163,0.7514,0.0163,0.1243,0.0163,0.1240
0.7778,85.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.5273,0.0153,0.5273,0.0153,0.2364,0.0153,0.2359
0.8889,84.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.3195,0.0117,0.3195,0.0117,0.3403,0.0117,0.3409
1.0000,83.0000,38.1759,0.0000,38.0000,76.0000,0.0880,0.0000,5.0000,0.4000,0.1477,0.0080,0.1477,0.0080,0.4262,0.0080,0.4248
