epsilon,coverage,coverage_double,coverage_cumul,avg_length,std_length,avg_length_double,std_length_double,avg_length_cumul,std_length_cumul,avg_interval_target_lower,avg_interval_target_upper,std_interval_target_lower,std_interval_target_upper,avg_interval_target_double_lower,avg_interval_target_double_upper,std_interval_target_double_lower,std_interval_target_double_upper,avg_interval_target_cumul_lower,avg_interval_target_cumul_upper,std_interval_target_cumul_lower,std_interval_target_cumul_upper,avg_interval_behavior_lower,avg_interval_behavior_upper,std_interval_behavior_lower,std_interval_behavior_upper,avg_quantile,avg_std_quantile,std_avg_quantile,avg_double_quantile_low,avg_std_double_quantile_low,std_avg_double_quantile_low,avg_double_quantile_high,avg_std_double_quantile_high,std_avg_double_quantile_high,avg_cumul_quantile_low,avg_std_cumul_quantile_low,std_avg_cumul_quantile_low,avg_cumul_quantile_high,avg_std_cumul_quantile_high,std_avg_cumul_quantile_high,horizon,epsilon_pi_behavior,avg_weights,std_weights,avg_ratio_what_w,std_ratio_what_w,median_ratio_what_w,avg_delta_w,std_delta_w,median_delta_w
0.0000,48.0000,53.0000,51.0000,72.0000,0.0000,47.0000,0.0000,37.0000,0.0000,189.0000,261.0000,0.0000,0.0000,219.0000,266.0000,0.0000,0.0000,231.0000,268.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,-1.3115,0.0000,0.0000,-31.9109,0.0000,0.0000,3.2918,0.0000,0.0000,231.0000,0.0000,0.0000,268.0000,0.0000,0.0000,20.0000,0.4000,1.6164,4.4927,1.6164,4.4927,0.0000,1.1413,3.9183,0.5000
0.0500,64.0000,32.0000,35.0000,86.0000,0.0000,83.0000,0.0000,101.0000,0.0000,182.0000,268.0000,0.0000,0.0000,170.0000,253.0000,0.0000,0.0000,154.0000,255.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,5.7448,0.2588,0.0000,16.7924,0.3079,0.0000,-9.0016,0.0670,0.0000,154.0000,0.0000,0.0000,255.2633,0.6905,0.0000,20.0000,0.4000,1.2420,2.4872,1.2420,2.4872,0.8256,0.4195,2.3539,0.1577
0.1000,100.0000,100.0000,100.0000,367.0000,0.0000,346.0000,0.0000,252.0000,0.0000,159.0000,526.0000,0.0000,0.0000,180.0000,526.0000,0.0000,0.0000,166.0000,418.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,inf,nan,nan,inf,nan,nan,inf,nan,nan,inf,nan,nan,inf,nan,nan,20.0000,0.4000,1.0961,6.9612,1.0961,6.9612,0.8668,0.2011,6.9502,0.1074
0.1500,81.0000,75.0000,87.0000,92.0000,0.0000,92.0000,0.0000,116.0000,0.0000,179.0000,271.0000,0.0000,0.0000,175.0000,267.0000,0.0000,0.0000,160.0000,276.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,8.2395,0.0450,0.0000,11.9619,0.1232,0.0000,4.9967,0.0203,0.0000,159.4249,0.4949,0.0000,276.1039,1.2213,0.0000,20.0000,0.4000,0.9874,0.2152,0.9874,0.2152,0.9796,0.0736,0.1576,0.0530
0.2000,89.0000,88.0000,97.0000,98.0000,0.0000,98.0000,0.0000,127.0000,0.0000,176.0000,274.0000,0.0000,0.0000,175.0000,273.0000,0.0000,0.0000,160.0000,287.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,11.1530,0.1541,0.0000,12.1679,0.1688,0.0000,10.6549,0.1130,0.0000,160.0000,0.0000,0.0000,287.3233,0.8643,0.0000,20.0000,0.4000,1.0044,0.1246,1.0044,0.1246,0.9965,0.0348,0.1034,0.0184
0.2500,96.0000,96.0000,100.0000,100.0000,0.0000,100.0000,0.0000,129.0000,0.0000,175.0000,275.0000,0.0000,0.0000,175.0000,275.0000,0.0000,0.0000,159.0000,288.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,12.1444,0.1782,0.0000,12.1605,0.2871,0.0000,12.7470,0.4368,0.0000,159.2402,0.4277,0.0000,288.7552,2.1409,0.0000,20.0000,0.4000,0.9896,0.0559,0.9896,0.0559,0.9809,0.0219,0.0363,0.0184
0.3000,95.0000,95.0000,100.0000,98.0000,0.0000,99.0000,0.0000,367.0000,0.0000,176.0000,274.0000,0.0000,0.0000,175.0000,274.0000,0.0000,0.0000,159.0000,526.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,12.0279,0.7829,0.0000,12.9463,1.7291,0.0000,12.4063,1.6439,0.0000,159.1409,0.3861,0.0000,inf,nan,nan,20.0000,0.4000,0.9937,0.0352,0.9937,0.0352,0.9943,0.0107,0.0286,0.0059
0.3500,95.0000,95.0000,100.0000,98.0000,0.0000,99.0000,0.0000,129.0000,0.0000,176.0000,274.0000,0.0000,0.0000,175.0000,274.0000,0.0000,0.0000,158.0000,287.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,11.7849,0.0326,0.0000,12.8899,0.1900,0.0000,11.1602,0.2188,0.0000,158.0000,0.0000,0.0000,287.1594,0.3664,0.0000,20.0000,0.4000,0.9899,0.0134,0.9899,0.0134,0.9906,0.0063,0.0110,0.0052
0.4000,95.0000,95.0000,99.0000,98.0000,0.0000,99.0000,0.0000,127.0000,0.0000,176.0000,274.0000,0.0000,0.0000,175.0000,274.0000,0.0000,0.0000,159.0000,286.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,11.6885,0.0000,0.0000,12.5656,0.0188,0.0000,11.2918,0.0000,0.0000,159.0000,0.0000,0.0000,286.0208,0.1428,0.0000,20.0000,0.4000,1.0001,0.0001,1.0001,0.0001,1.0001,0.0000,0.0001,0.0000
0.4500,98.0000,98.0000,100.0000,98.0000,0.0000,99.0000,0.0000,128.0000,0.0000,176.0000,274.0000,0.0000,0.0000,175.0000,274.0000,0.0000,0.0000,159.0000,287.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,11.6577,0.0006,0.0000,12.2330,0.1596,0.0000,11.2156,0.1218,0.0000,159.0000,0.0000,0.0000,286.4042,0.4913,0.0000,20.0000,0.4000,1.0062,0.0153,1.0062,0.0153,1.0089,0.0059,0.0116,0.0051
